PCIS Permit #,Permit Sub-Type,Issue Date,Valuation
14010-70000-01622,1 or 2 Family Dwelling,6/30/2014,"$25,000.00 "
15014-30000-05506,1 or 2 Family Dwelling,12/3/2015,"$16,000.00 "
16010-20000-00129,Commercial,3/18/2016,"$23,000.00 "
15014-20000-03614,1 or 2 Family Dwelling,8/6/2015,"$43,000.00 "
15014-10001-00857,1 or 2 Family Dwelling,10/28/2015,"$20,000.00 "
13010-20000-02946,1 or 2 Family Dwelling,5/23/2014,"$295,000.00 "
15014-20000-05100,1 or 2 Family Dwelling,3/9/2016,"$140,000.00 "
13010-20000-04464,1 or 2 Family Dwelling,5/11/2015,"$163,000.00 "
15014-20000-00832,1 or 2 Family Dwelling,5/4/2015,"$41,300.00 "
13010-20000-03730,1 or 2 Family Dwelling,12/11/2013,"$4,000.00 "
14010-20000-02639,1 or 2 Family Dwelling,8/28/2014,"$65,000.00 "
15014-10000-01904,1 or 2 Family Dwelling,12/11/2015,"$700,000.00 "
13010-10000-00551,Commercial,7/22/2014,"$75,000.00 "
06010-10000-05354,Commercial,2/16/2013,"$151,462,349.00 "
15014-20000-05529,1 or 2 Family Dwelling,12/21/2015,"$65,000.00 "
13014-10000-03389,1 or 2 Family Dwelling,9/10/2013,"$2,000.00 "
15014-20000-01650,1 or 2 Family Dwelling,7/28/2015,"$18,000.00 "
15016-10000-21613,Commercial,2/24/2016,"$110,000.00 "
15014-20000-01771,1 or 2 Family Dwelling,5/8/2015,"$32,522.00 "
13010-10000-02747,Commercial,6/6/2014,"$22,939,515.00 "
14014-30000-05300,1 or 2 Family Dwelling,12/8/2014,"$40,000.00 "
14016-20000-19365,1 or 2 Family Dwelling,11/10/2014,"$17,000.00 "
15014-10000-03501,1 or 2 Family Dwelling,3/17/2016,"$400,000.00 "
15014-20000-01731,1 or 2 Family Dwelling,9/15/2015,"$494,000.00 "
13014-20000-00152,1 or 2 Family Dwelling,4/24/2013,"$20,000.00 "
15010-10000-02210,1 or 2 Family Dwelling,10/29/2015,"$35,000.00 "
13010-20000-03783,1 or 2 Family Dwelling,3/18/2016,"$185,000.00 "
14014-10000-00867,1 or 2 Family Dwelling,3/12/2014,"$50,000.00 "
15014-30000-05451,1 or 2 Family Dwelling,4/4/2016,"$125,000.00 "
13014-20000-01173,1 or 2 Family Dwelling,3/29/2013,"$25,000.00 "
14010-10000-03552,1 or 2 Family Dwelling,11/18/2014,"$14,200.00 "
14014-20000-02554,1 or 2 Family Dwelling,6/30/2014,"$30,300.00 "
14010-20000-02048,1 or 2 Family Dwelling,4/24/2015,"$213,000.00 "
14014-20000-05472,1 or 2 Family Dwelling,12/30/2014,"$5,000.00 "
15024-20000-00018,1 or 2 Family Dwelling,6/1/2015,"$35,000.00 "
13014-70000-03191,1 or 2 Family Dwelling,8/21/2013,"$67,000.00 "
15014-20000-03156,1 or 2 Family Dwelling,7/14/2015,"$12,000.00 "
14014-20000-02432,1 or 2 Family Dwelling,6/12/2014,"$27,300.00 "
13014-20000-05422,1 or 2 Family Dwelling,1/10/2014,"$10,000.00 "
15010-20000-02908,1 or 2 Family Dwelling,9/25/2015,"$647,493.00 "
14010-20000-03607,1 or 2 Family Dwelling,5/7/2015,"$282,100.00 "
15010-10000-00554,1 or 2 Family Dwelling,7/10/2015,"$822,000.00 "
13014-20000-02398,1 or 2 Family Dwelling,6/20/2013,"$31,000.00 "
15014-20000-00818,1 or 2 Family Dwelling,5/18/2015,"$73,000.00 "
12014-20000-03804,1 or 2 Family Dwelling,1/31/2013,"$498,000.00 "
10014-20001-02694,1 or 2 Family Dwelling,3/5/2013,$501.00 
14016-10002-00036,1 or 2 Family Dwelling,11/3/2014,"$20,000.00 "
14010-20000-01609,1 or 2 Family Dwelling,7/2/2014,"$170,000.00 "
16014-20000-00900,1 or 2 Family Dwelling,3/30/2016,"$15,000.00 "
14014-20000-04076,1 or 2 Family Dwelling,9/23/2014,"$80,000.00 "
15010-20000-02958,1 or 2 Family Dwelling,9/21/2015,"$3,000.00 "
12014-10000-03852,1 or 2 Family Dwelling,1/22/2013,"$50,000.00 "
15014-20000-03818,1 or 2 Family Dwelling,9/16/2015,"$45,000.00 "
15014-70000-01848,1 or 2 Family Dwelling,1/11/2016,"$81,500.00 "
12014-10002-03893,1 or 2 Family Dwelling,10/22/2015,$0.00 
15014-20000-05188,1 or 2 Family Dwelling,12/7/2015,"$7,500.00 "
15010-20000-01324,Commercial,11/10/2015,"$8,000.00 "
15014-20000-04785,1 or 2 Family Dwelling,10/21/2015,"$6,000.00 "
13010-70000-01960,1 or 2 Family Dwelling,11/19/2013,"$68,750.00 "
13014-20000-00860,1 or 2 Family Dwelling,2/19/2014,"$14,200.00 "
14010-30000-00173,1 or 2 Family Dwelling,5/9/2014,"$596,800.00 "
15014-20000-02011,1 or 2 Family Dwelling,3/2/2016,"$145,000.00 "
14010-20000-04207,1 or 2 Family Dwelling,3/26/2015,"$475,000.00 "
14014-20000-01644,1 or 2 Family Dwelling,8/13/2014,"$50,000.00 "
14010-10000-01267,1 or 2 Family Dwelling,9/9/2015,"$184,800.00 "
15014-20000-03813,1 or 2 Family Dwelling,1/19/2016,"$350,000.00 "
13010-10000-03306,1 or 2 Family Dwelling,1/12/2015,"$259,926.00 "
15014-30000-04328,1 or 2 Family Dwelling,9/29/2015,"$36,000.00 "
14010-10000-03583,1 or 2 Family Dwelling,4/22/2015,"$442,000.00 "
14014-10000-01263,1 or 2 Family Dwelling,5/23/2014,"$9,000.00 "
14010-10000-01020,1 or 2 Family Dwelling,7/18/2014,"$57,000.00 "
13014-30001-00067,1 or 2 Family Dwelling,2/11/2013,$501.00 
15014-20000-02817,1 or 2 Family Dwelling,6/26/2015,"$10,000.00 "
14014-70000-01373,1 or 2 Family Dwelling,5/19/2014,"$38,000.00 "
14010-40000-01936,1 or 2 Family Dwelling,9/3/2014,"$12,400.00 "
13010-10000-03326,1 or 2 Family Dwelling,5/6/2014,"$453,316.00 "
15014-20000-04625,1 or 2 Family Dwelling,10/23/2015,"$60,000.00 "
15016-10000-13652,Commercial,8/26/2015,"$195,000.00 "
15010-30000-01070,1 or 2 Family Dwelling,8/26/2015,"$212,640.00 "
15010-20000-02690,1 or 2 Family Dwelling,3/23/2016,"$256,741.00 "
12014-20000-00428,1 or 2 Family Dwelling,1/30/2013,"$80,000.00 "
14014-20000-02137,1 or 2 Family Dwelling,10/6/2014,"$300,000.00 "
14014-20000-02794,1 or 2 Family Dwelling,7/15/2015,"$68,000.00 "
15010-20000-02736,Commercial,3/30/2016,"$20,000.00 "
13014-20000-01081,1 or 2 Family Dwelling,3/28/2013,"$6,000.00 "
14010-20000-01686,1 or 2 Family Dwelling,9/16/2015,"$50,000.00 "
13014-10000-04099,1 or 2 Family Dwelling,2/21/2014,"$240,000.00 "
14010-10000-00492,Apartment,8/26/2015,"$61,810,014.00 "
13014-30000-04091,1 or 2 Family Dwelling,10/7/2013,"$8,000.00 "
15014-20000-01766,1 or 2 Family Dwelling,12/15/2015,"$50,000.00 "
15014-10000-04991,1 or 2 Family Dwelling,11/19/2015,"$66,000.00 "
14014-20000-05398,1 or 2 Family Dwelling,12/23/2014,"$50,000.00 "
15014-20000-00471,1 or 2 Family Dwelling,2/6/2015,"$3,500.00 "
15014-20000-04613,1 or 2 Family Dwelling,2/8/2016,"$330,000.00 "
13014-20000-02858,1 or 2 Family Dwelling,7/18/2013,"$43,230.00 "
14010-10000-04178,1 or 2 Family Dwelling,6/26/2015,"$2,285,000.00 "
14010-20000-00406,1 or 2 Family Dwelling,10/1/2014,"$216,000.00 "
14010-10000-01317,1 or 2 Family Dwelling,8/28/2014,"$900,000.00 "
15014-10000-00695,1 or 2 Family Dwelling,2/26/2015,"$14,000.00 "
15014-20000-05503,1 or 2 Family Dwelling,12/1/2015,"$9,000.00 "
15010-10000-01836,1 or 2 Family Dwelling,10/21/2015,"$80,000.00 "
14014-30000-05578,1 or 2 Family Dwelling,3/30/2016,"$125,000.00 "
13014-20000-00188,1 or 2 Family Dwelling,3/19/2013,"$46,000.00 "
14010-10000-00210,Apartment,12/3/2014,"$3,957,109.00 "
13010-20000-03566,1 or 2 Family Dwelling,11/27/2013,"$27,000.00 "
13024-10000-00030,Commercial,5/18/2015,"$7,200,000.00 "
15010-20000-01466,1 or 2 Family Dwelling,10/21/2015,"$2,000,000.00 "
15010-10000-03403,1 or 2 Family Dwelling,10/7/2015,"$1,000.00 "
15014-20000-02369,1 or 2 Family Dwelling,9/21/2015,"$64,000.00 "
11014-40000-03680,1 or 2 Family Dwelling,6/19/2013,"$322,000.00 "
14010-20000-03119,1 or 2 Family Dwelling,1/23/2015,"$35,350.00 "
13014-10000-00694,1 or 2 Family Dwelling,6/30/2015,"$179,578.00 "
13014-20000-02837,1 or 2 Family Dwelling,7/17/2013,"$4,500.00 "
13014-20000-03268,1 or 2 Family Dwelling,10/15/2013,"$10,000.00 "
15014-20000-00139,1 or 2 Family Dwelling,6/9/2015,"$780,000.00 "
15010-10000-03836,1 or 2 Family Dwelling,1/20/2016,"$295,000.00 "
13010-20000-03983,1 or 2 Family Dwelling,6/11/2015,"$181,600.00 "
14010-10000-01980,1 or 2 Family Dwelling,4/20/2016,"$300,000.00 "
15014-70000-05589,1 or 2 Family Dwelling,2/29/2016,"$93,627.00 "
13010-10002-03729,1 or 2 Family Dwelling,3/10/2016,"$50,000.00 "
15010-10000-02269,Commercial,3/10/2016,"$20,600,000.00 "
16014-10000-00719,1 or 2 Family Dwelling,2/26/2016,"$3,500.00 "
15014-20000-01763,1 or 2 Family Dwelling,9/9/2015,"$85,000.00 "
15014-20000-05545,1 or 2 Family Dwelling,12/3/2015,"$17,000.00 "
16014-20000-00689,1 or 2 Family Dwelling,2/19/2016,"$30,000.00 "
15014-10000-03390,1 or 2 Family Dwelling,11/20/2015,"$40,000.00 "
14010-10000-00854,1 or 2 Family Dwelling,3/21/2014,"$1,500.00 "
15014-20000-04358,1 or 2 Family Dwelling,9/24/2015,"$54,000.00 "
13014-30000-03630,1 or 2 Family Dwelling,9/11/2013,"$36,000.00 "
14014-30000-05101,1 or 2 Family Dwelling,3/20/2015,"$250,000.00 "
13010-20000-04167,1 or 2 Family Dwelling,8/27/2015,"$182,000.00 "
15010-20000-00041,1 or 2 Family Dwelling,4/22/2015,"$600,000.00 "
13014-10001-05364,1 or 2 Family Dwelling,7/6/2015,"$18,244.29 "
15014-10000-04839,1 or 2 Family Dwelling,2/9/2016,"$67,000.00 "
13014-10000-01000,1 or 2 Family Dwelling,6/6/2013,"$165,000.00 "
15010-10000-00941,Apartment,8/13/2015,"$2,173,685.00 "
14010-20000-03794,Commercial,4/30/2015,"$62,500.00 "
15014-20000-03214,1 or 2 Family Dwelling,9/11/2015,"$28,000.00 "
13014-10000-01618,1 or 2 Family Dwelling,2/3/2014,"$150,000.00 "
15010-20000-01363,1 or 2 Family Dwelling,7/30/2015,"$6,500.00 "
15010-20000-00071,1 or 2 Family Dwelling,2/13/2015,"$5,200.00 "
13014-10000-04715,1 or 2 Family Dwelling,1/6/2014,"$100,000.00 "
16014-20000-01493,1 or 2 Family Dwelling,4/18/2016,"$100,000.00 "
14014-10000-02119,1 or 2 Family Dwelling,9/9/2014,"$28,000.00 "
12010-10000-02714,1 or 2 Family Dwelling,8/15/2013,"$800,000.00 "
13014-20000-04611,1 or 2 Family Dwelling,11/6/2014,"$433,000.00 "
14014-70000-01519,1 or 2 Family Dwelling,4/24/2014,"$8,000.00 "
14010-30005-01840,Commercial,4/13/2016,"$2,000.00 "
15010-30000-03654,1 or 2 Family Dwelling,12/16/2015,"$400,000.00 "
15014-20000-00782,1 or 2 Family Dwelling,7/22/2015,"$420,000.00 "
14010-20000-00338,1 or 2 Family Dwelling,4/25/2014,"$20,000.00 "
15014-20000-04921,1 or 2 Family Dwelling,12/16/2015,"$75,000.00 "
16014-40000-00528,1 or 2 Family Dwelling,4/14/2016,"$17,000.00 "
14010-20000-01033,1 or 2 Family Dwelling,9/25/2014,"$1,093,587.00 "
15010-20000-01935,1 or 2 Family Dwelling,11/20/2015,"$361,000.00 "
15014-10000-04631,1 or 2 Family Dwelling,12/9/2015,"$300,000.00 "
15016-70000-02304,Commercial,9/9/2015,"$80,000.00 "
16014-10000-01008,1 or 2 Family Dwelling,3/16/2016,"$30,000.00 "
15026-10000-00161,1 or 2 Family Dwelling,3/18/2015,"$15,000.00 "
14010-30000-03696,1 or 2 Family Dwelling,8/10/2015,"$552,000.00 "
14010-30000-01905,1 or 2 Family Dwelling,1/12/2015,"$2,600,000.00 "
15014-20000-01708,1 or 2 Family Dwelling,4/21/2015,"$2,800.00 "
13010-20000-01138,1 or 2 Family Dwelling,4/17/2013,"$7,500.00 "
13014-10000-00529,1 or 2 Family Dwelling,2/20/2013,"$12,000.00 "
15010-20000-01080,1 or 2 Family Dwelling,11/18/2015,"$854,000.00 "
15014-20000-03424,1 or 2 Family Dwelling,8/17/2015,"$90,000.00 "
13014-10000-05384,1 or 2 Family Dwelling,6/27/2014,"$750,000.00 "
15014-20000-04619,1 or 2 Family Dwelling,3/11/2016,"$50,000.00 "
15014-20000-02614,1 or 2 Family Dwelling,7/6/2015,"$3,500.00 "
13010-10000-00626,1 or 2 Family Dwelling,10/15/2013,"$216,000.00 "
15014-20000-05667,1 or 2 Family Dwelling,1/12/2016,"$50,000.00 "
14010-10000-00486,1 or 2 Family Dwelling,10/23/2014,"$329,000.00 "
13010-10000-01077,Apartment,9/11/2014,"$1,454,930.00 "
13010-20000-04119,1 or 2 Family Dwelling,11/18/2015,"$253,000.00 "
15010-20000-04604,1 or 2 Family Dwelling,3/11/2016,"$63,000.00 "
13014-40000-02618,1 or 2 Family Dwelling,7/12/2013,"$2,112.00 "
15010-20000-03247,Commercial,11/4/2015,"$100,000.00 "
15014-20000-05738,1 or 2 Family Dwelling,2/24/2016,"$91,000.00 "
15014-30000-02498,1 or 2 Family Dwelling,8/24/2015,"$250,000.00 "
16014-20000-01143,1 or 2 Family Dwelling,4/13/2016,"$95,000.00 "
15010-40000-01639,1 or 2 Family Dwelling,7/24/2015,"$41,140.00 "
14010-20000-03687,1 or 2 Family Dwelling,6/18/2015,"$400,000.00 "
14016-70000-01327,1 or 2 Family Dwelling,2/6/2014,"$6,500.00 "
15014-10000-03647,1 or 2 Family Dwelling,10/1/2015,"$60,000.00 "
13014-20001-02900,1 or 2 Family Dwelling,10/16/2013,"$50,000.00 "
14014-10000-02549,1 or 2 Family Dwelling,9/3/2014,"$85,000.00 "
16014-10000-00986,1 or 2 Family Dwelling,3/31/2016,"$5,500.00 "
13014-20001-04835,1 or 2 Family Dwelling,5/19/2015,"$11,000.00 "
14014-70000-05179,1 or 2 Family Dwelling,7/29/2015,"$6,000.00 "
13014-30000-04110,1 or 2 Family Dwelling,11/20/2013,"$34,000.00 "
13010-30000-02654,1 or 2 Family Dwelling,9/25/2013,"$12,500.00 "
13014-20000-02354,1 or 2 Family Dwelling,7/24/2013,"$250,000.00 "
12014-10000-02910,1 or 2 Family Dwelling,3/15/2013,"$87,000.00 "
15014-20000-03233,1 or 2 Family Dwelling,7/17/2015,"$10,000.00 "
14014-20001-04489,1 or 2 Family Dwelling,2/5/2015,"$121,200.00 "
13014-20000-03850,1 or 2 Family Dwelling,9/18/2013,"$3,000.00 "
15010-20000-04122,1 or 2 Family Dwelling,1/29/2016,"$69,000.00 "
15014-70000-02622,1 or 2 Family Dwelling,11/17/2015,"$130,000.00 "
13010-10000-01750,1 or 2 Family Dwelling,5/30/2014,"$4,262,408.00 "
13010-40000-00951,1 or 2 Family Dwelling,9/20/2013,"$33,000.00 "
14014-20002-03672,1 or 2 Family Dwelling,8/5/2015,"$34,917.00 "
13014-10000-02937,Commercial,11/21/2013,"$230,000.00 "
15014-30000-01722,1 or 2 Family Dwelling,7/29/2015,"$675,000.00 "
13014-10000-04791,1 or 2 Family Dwelling,5/28/2014,"$33,000.00 "
14010-20000-03328,1 or 2 Family Dwelling,9/2/2015,"$1,000,000.00 "
15010-20000-00367,1 or 2 Family Dwelling,9/28/2015,"$232,700.00 "
14010-10000-01958,1 or 2 Family Dwelling,11/5/2015,"$300,000.00 "
12014-20000-01165,1 or 2 Family Dwelling,11/18/2014,"$10,000.00 "
11010-30000-01410,1 or 2 Family Dwelling,4/23/2015,"$596,112.00 "
13016-30000-04176,1 or 2 Family Dwelling,4/24/2013,"$45,000.00 "
12014-20000-02830,1 or 2 Family Dwelling,9/24/2013,"$20,000.00 "
13014-20000-02436,1 or 2 Family Dwelling,6/21/2013,"$4,000.00 "
15014-20000-02808,1 or 2 Family Dwelling,10/6/2015,"$256,000.00 "
15014-40000-04728,1 or 2 Family Dwelling,1/21/2016,"$38,000.00 "
14010-30000-01694,Commercial,8/13/2014,"$40,000.00 "
15014-20000-03100,1 or 2 Family Dwelling,8/24/2015,"$25,000.00 "
13010-10000-01193,1 or 2 Family Dwelling,9/18/2013,$0.00 
15014-20000-04669,1 or 2 Family Dwelling,12/8/2015,"$123,000.00 "
12010-10000-02477,1 or 2 Family Dwelling,5/9/2013,"$150,000.00 "
14014-20000-00224,1 or 2 Family Dwelling,1/23/2014,"$1,500.00 "
15014-30000-02940,1 or 2 Family Dwelling,4/11/2016,"$85,000.00 "
15014-10000-04126,1 or 2 Family Dwelling,1/29/2016,"$120,000.00 "
14014-10000-03070,1 or 2 Family Dwelling,7/14/2014,"$9,000.00 "
14014-20000-04824,1 or 2 Family Dwelling,11/6/2014,"$3,000.00 "
14014-20000-00809,1 or 2 Family Dwelling,3/7/2014,"$18,500.00 "
15014-40000-03380,1 or 2 Family Dwelling,12/7/2015,"$40,000.00 "
13014-20000-03311,Apartment,9/16/2013,"$33,000.00 "
13010-20000-03978,1 or 2 Family Dwelling,6/11/2015,"$181,600.00 "
13010-20000-04551,1 or 2 Family Dwelling,1/9/2014,"$15,000.00 "
15014-20000-04615,1 or 2 Family Dwelling,10/7/2015,"$40,500.00 "
13014-20000-00210,1 or 2 Family Dwelling,1/18/2013,"$4,000.00 "
12014-20000-04303,1 or 2 Family Dwelling,1/10/2013,"$90,000.00 "
15014-70000-04773,1 or 2 Family Dwelling,12/29/2015,"$12,000.00 "
14010-20000-01621,1 or 2 Family Dwelling,5/30/2014,"$5,000.00 "
14010-10000-01994,1 or 2 Family Dwelling,7/14/2015,"$581,418.00 "
13010-20000-00040,1 or 2 Family Dwelling,1/16/2013,"$35,000.00 "
15016-20001-11615,1 or 2 Family Dwelling,1/11/2016,"$9,500.00 "
14014-20000-05044,1 or 2 Family Dwelling,5/8/2015,"$124,000.00 "
12014-30000-03694,1 or 2 Family Dwelling,2/27/2013,"$257,560.00 "
15014-70000-00334,1 or 2 Family Dwelling,8/7/2015,"$145,000.00 "
15014-20000-02375,1 or 2 Family Dwelling,6/1/2015,"$1,800.00 "
13014-10000-04344,1 or 2 Family Dwelling,3/21/2014,"$350,000.00 "
14010-20000-03194,1 or 2 Family Dwelling,10/5/2015,"$293,000.00 "
15010-20000-00979,Commercial,3/11/2016,"$300,000.00 "
14014-20000-01715,1 or 2 Family Dwelling,8/13/2014,"$32,700.00 "
14014-20000-05104,1 or 2 Family Dwelling,11/26/2014,"$9,000.00 "
13010-20000-04166,1 or 2 Family Dwelling,8/27/2015,"$182,000.00 "
12010-10000-01775,1 or 2 Family Dwelling,12/1/2015,"$360,584.00 "
14014-10000-05456,1 or 2 Family Dwelling,3/18/2015,"$150,000.00 "
14014-70000-03877,1 or 2 Family Dwelling,2/6/2015,"$25,000.00 "
16014-10000-00323,1 or 2 Family Dwelling,3/7/2016,"$35,000.00 "
15014-70000-02276,Commercial,8/24/2015,"$30,000.00 "
15014-20000-05294,1 or 2 Family Dwelling,2/25/2016,"$114,000.00 "
13014-10000-00812,1 or 2 Family Dwelling,3/29/2013,"$78,000.00 "
15014-10000-03075,1 or 2 Family Dwelling,9/4/2015,"$35,000.00 "
14014-10000-04921,1 or 2 Family Dwelling,2/24/2015,"$55,000.00 "
14010-10000-00208,Apartment,8/29/2014,"$2,600,000.00 "
15014-30000-03023,1 or 2 Family Dwelling,12/7/2015,"$300,000.00 "
15014-20000-05476,1 or 2 Family Dwelling,11/30/2015,"$1,000.00 "
14014-30000-03680,1 or 2 Family Dwelling,1/22/2015,"$250,000.00 "
14014-20000-05614,1 or 2 Family Dwelling,12/26/2014,"$12,000.00 "
14014-20000-02918,1 or 2 Family Dwelling,6/30/2014,"$18,000.00 "
13010-20000-04543,1 or 2 Family Dwelling,10/7/2014,"$590,000.00 "
16014-20000-00346,1 or 2 Family Dwelling,2/17/2016,"$41,000.00 "
15014-20001-05869,1 or 2 Family Dwelling,2/26/2016,$501.00 
15014-20000-03659,1 or 2 Family Dwelling,8/13/2015,"$29,000.00 "
15014-20000-00233,1 or 2 Family Dwelling,1/22/2015,"$25,000.00 "
14010-20000-02004,Commercial,7/7/2015,"$3,600,000.00 "
14010-10000-02001,1 or 2 Family Dwelling,1/12/2015,"$1,800,000.00 "
15010-20000-02245,1 or 2 Family Dwelling,7/13/2015,"$6,000.00 "
15014-70000-03264,1 or 2 Family Dwelling,11/9/2015,"$35,000.00 "
14010-10000-00184,1 or 2 Family Dwelling,1/26/2016,"$113,685.00 "
14010-10000-01874,1 or 2 Family Dwelling,3/13/2015,"$980,000.00 "
14014-20000-05644,1 or 2 Family Dwelling,2/3/2015,"$47,000.00 "
15014-30000-05116,1 or 2 Family Dwelling,1/28/2016,"$922,000.00 "
14014-20000-01138,1 or 2 Family Dwelling,5/13/2014,"$100,000.00 "
15014-20000-00289,1 or 2 Family Dwelling,8/17/2015,"$10,000.00 "
15014-20000-01568,1 or 2 Family Dwelling,8/26/2015,"$38,000.00 "
14010-10000-03826,1 or 2 Family Dwelling,9/17/2015,"$186,932.00 "
14014-20000-01834,1 or 2 Family Dwelling,5/7/2014,"$20,000.00 "
15014-10000-00055,Commercial,2/13/2015,"$200,000.00 "
15014-10000-02459,Apartment,9/22/2015,"$2,400.00 "
14014-10000-03452,1 or 2 Family Dwelling,1/7/2016,"$55,202.00 "
16014-20000-00743,1 or 2 Family Dwelling,2/22/2016,"$46,000.00 "
14010-70000-01591,1 or 2 Family Dwelling,7/2/2014,"$22,000.00 "
15014-20000-00833,1 or 2 Family Dwelling,5/21/2015,"$85,000.00 "
13010-20000-03568,1 or 2 Family Dwelling,8/25/2014,"$333,000.00 "
15014-30000-03843,1 or 2 Family Dwelling,4/15/2016,"$240,000.00 "
13014-10000-02128,1 or 2 Family Dwelling,10/11/2013,"$35,000.00 "
15010-20000-01513,Commercial,4/30/2015,"$62,500.00 "
14016-20000-23218,1 or 2 Family Dwelling,2/12/2015,"$12,000.00 "
12014-20000-02265,1 or 2 Family Dwelling,2/21/2013,"$57,000.00 "
15010-20000-03998,1 or 2 Family Dwelling,2/5/2016,"$737,000.00 "
13014-20000-04753,1 or 2 Family Dwelling,1/9/2014,"$250,000.00 "
14014-20000-02690,1 or 2 Family Dwelling,9/24/2014,"$15,000.00 "
16014-20000-00880,1 or 2 Family Dwelling,4/11/2016,"$100,000.00 "
15014-10001-01508,1 or 2 Family Dwelling,3/1/2016,"$70,000.00 "
12016-20004-04595,Commercial,9/20/2013,"$25,000.00 "
13010-10000-02389,1 or 2 Family Dwelling,4/3/2014,"$3,737,908.00 "
15014-20000-03065,1 or 2 Family Dwelling,2/3/2016,"$60,000.00 "
15014-20000-04727,1 or 2 Family Dwelling,10/15/2015,"$20,000.00 "
15014-20000-02128,1 or 2 Family Dwelling,8/3/2015,"$150,000.00 "
14010-30000-02278,Commercial,3/13/2015,"$5,000.00 "
15010-20000-03662,1 or 2 Family Dwelling,12/11/2015,"$127,000.00 "
14010-10000-00373,1 or 2 Family Dwelling,9/17/2014,"$190,560.00 "
14014-20000-05568,1 or 2 Family Dwelling,12/23/2014,"$28,600.00 "
15014-20000-01558,1 or 2 Family Dwelling,6/16/2015,"$100,000.00 "
14014-10000-00640,1 or 2 Family Dwelling,4/24/2014,"$5,707.51 "
16014-20000-00873,1 or 2 Family Dwelling,4/13/2016,"$30,000.00 "
15010-20000-02062,1 or 2 Family Dwelling,11/4/2015,"$81,000.00 "
15010-30000-04374,1 or 2 Family Dwelling,12/2/2015,"$20,000.00 "
12016-10000-01023,Commercial,1/16/2013,"$500,000.00 "
14010-10000-03931,1 or 2 Family Dwelling,9/24/2015,"$207,510.00 "
15014-20000-04107,1 or 2 Family Dwelling,12/21/2015,"$38,000.00 "
16014-20000-01173,1 or 2 Family Dwelling,3/21/2016,"$6,500.00 "
15014-30000-02268,1 or 2 Family Dwelling,8/12/2015,"$46,000.00 "
14014-10000-04800,Apartment,11/4/2014,"$6,000.00 "
16014-20000-00670,1 or 2 Family Dwelling,4/14/2016,"$20,000.00 "
13014-20000-01175,1 or 2 Family Dwelling,4/9/2013,"$4,500.00 "
15014-20000-04644,1 or 2 Family Dwelling,10/8/2015,"$20,000.00 "
13016-20000-22827,Commercial,2/21/2014,"$1,200,000.00 "
15014-10000-00645,1 or 2 Family Dwelling,4/7/2015,"$90,000.00 "
14014-20000-02734,1 or 2 Family Dwelling,7/15/2014,"$60,000.00 "
15010-40000-03844,1 or 2 Family Dwelling,2/26/2016,"$124,101.00 "
14010-30000-02747,1 or 2 Family Dwelling,4/13/2015,"$228,852.00 "
16014-30000-00083,1 or 2 Family Dwelling,1/25/2016,"$50,096.00 "
15010-10000-00624,Commercial,5/8/2015,$501.00 
12010-20000-00664,1 or 2 Family Dwelling,6/26/2013,"$3,744,216.00 "
14014-20000-04997,1 or 2 Family Dwelling,3/6/2015,"$350,000.00 "
15010-30000-03349,1 or 2 Family Dwelling,11/25/2015,"$675,000.00 "
15010-20000-01204,1 or 2 Family Dwelling,7/21/2015,"$565,000.00 "
15010-30000-00268,1 or 2 Family Dwelling,8/5/2015,"$900,000.00 "
15010-10000-00124,1 or 2 Family Dwelling,11/13/2015,"$470,657.00 "
14014-20000-01555,1 or 2 Family Dwelling,10/9/2015,"$18,400.00 "
16014-20000-00536,1 or 2 Family Dwelling,3/17/2016,"$25,000.00 "
14014-30000-02252,1 or 2 Family Dwelling,6/17/2014,"$3,000.00 "
14014-20000-03035,1 or 2 Family Dwelling,7/10/2014,"$10,000.00 "
14014-20000-05183,1 or 2 Family Dwelling,4/3/2015,"$100,000.00 "
15010-20000-01726,1 or 2 Family Dwelling,6/3/2015,"$2,600.00 "
13014-10000-05364,1 or 2 Family Dwelling,3/31/2015,"$297,543.00 "
13014-20000-03020,1 or 2 Family Dwelling,8/28/2013,"$127,000.00 "
15014-20000-01843,1 or 2 Family Dwelling,5/8/2015,"$48,000.00 "
15014-20002-00766,1 or 2 Family Dwelling,2/26/2016,"$60,000.00 "
15014-30000-02824,1 or 2 Family Dwelling,9/4/2015,"$130,000.00 "
14010-10000-02720,Apartment,5/20/2015,"$3,220,000.00 "
14014-20000-03179,1 or 2 Family Dwelling,3/25/2015,"$30,000.00 "
15014-20000-05297,1 or 2 Family Dwelling,3/31/2016,"$150,000.00 "
15014-20000-05204,1 or 2 Family Dwelling,11/24/2015,"$36,000.00 "
15010-20000-03470,1 or 2 Family Dwelling,2/9/2016,"$20,000.00 "
14014-20001-03735,1 or 2 Family Dwelling,10/5/2015,"$200,000.00 "
14016-10000-22706,1 or 2 Family Dwelling,11/13/2014,"$30,000.00 "
15014-30000-01815,1 or 2 Family Dwelling,6/29/2015,"$200,000.00 "
15010-20000-01268,1 or 2 Family Dwelling,7/27/2015,"$466,000.00 "
15014-20000-05434,1 or 2 Family Dwelling,2/9/2016,"$50,000.00 "
14010-70000-02574,1 or 2 Family Dwelling,10/28/2014,"$386,000.00 "
14014-20000-04736,1 or 2 Family Dwelling,11/3/2014,"$3,550.00 "
