PCIS Permit #,Permit Sub-Type,Issue Date,Valuation
12014-10000-04168,1 or 2 Family Dwelling,3/18/2013,"$50,000.00 "
15010-10000-00336,Commercial,3/18/2015,"$500,000.00 "
15014-20001-03637,1 or 2 Family Dwelling,11/16/2015,"$2,000.00 "
15014-10000-01628,1 or 2 Family Dwelling,6/24/2015,"$34,351.00 "
14014-10000-04060,1 or 2 Family Dwelling,9/30/2014,"$20,000.00 "
14014-70000-01388,1 or 2 Family Dwelling,3/4/2015,"$46,000.00 "
13010-10000-00042,1 or 2 Family Dwelling,6/8/2015,"$200,000.00 "
13014-20000-01836,1 or 2 Family Dwelling,5/16/2013,"$50,000.00 "
13014-10000-01383,1 or 2 Family Dwelling,8/14/2013,"$58,400.00 "
15010-20000-01292,1 or 2 Family Dwelling,9/24/2015,"$738,300.00 "
12014-10000-04184,1 or 2 Family Dwelling,2/26/2013,"$120,000.00 "
14014-20000-05561,1 or 2 Family Dwelling,4/28/2015,"$550,000.00 "
15014-70000-01108,Apartment,6/4/2015,"$5,200.00 "
14014-10000-00299,1 or 2 Family Dwelling,1/13/2015,"$50,000.00 "
13010-20000-03467,1 or 2 Family Dwelling,12/12/2013,"$6,000.00 "
13010-20000-03787,1 or 2 Family Dwelling,3/18/2016,"$185,000.00 "
14014-10000-00675,1 or 2 Family Dwelling,4/24/2014,"$304,000.00 "
13010-10000-03647,Commercial,7/10/2014,"$16,100,000.00 "
14010-30000-01683,Apartment,12/29/2014,"$6,797,000.00 "
15014-20000-03216,1 or 2 Family Dwelling,7/16/2015,"$27,000.00 "
15010-20000-02566,1 or 2 Family Dwelling,7/20/2015,"$3,000.00 "
15010-70000-03958,1 or 2 Family Dwelling,12/22/2015,"$218,000.00 "
14010-10000-02370,1 or 2 Family Dwelling,5/12/2015,"$24,750.00 "
14014-70000-03731,1 or 2 Family Dwelling,4/6/2015,"$50,000.00 "
14014-30000-04515,1 or 2 Family Dwelling,10/30/2014,"$80,000.00 "
