PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
06010-10000-03327,Commercial,2/23/2013,"$37,500.00 ",960,,1,M2-1,960,1,"(34.0664, -118.2196)"
13014-10000-01744,Commercial,7/15/2013,"$20,000.00 ",1245,,1,C2-1,-675,4,"(34.0978, -118.28623)"
14014-30000-03585,1 or 2 Family Dwelling,9/17/2014,"$25,000.00 ",0,0,0,R1-1,340,10,"(34.01273, -118.36102)"
14010-30000-01191,1 or 2 Family Dwelling,12/18/2015,"$110,000.00 ",1277,,2,RD1.5-1,1916,11,"(33.99723, -118.46715)"
13010-10000-04430,1 or 2 Family Dwelling,6/26/2015,"$1,794,152.00 ",13096,1,2,RE20-1-H,15726,5,"(34.08155, -118.45037)"
13014-20000-01452,1 or 2 Family Dwelling,7/3/2013,"$180,000.00 ",2807,,2,R1-1,1342,11,"(34.0433, -118.54719)"
15010-30000-02863,1 or 2 Family Dwelling,11/23/2015,"$175,000.00 ",469,1,2,R1-1,1056,11,"(34.00956, -118.42831)"
15014-20000-00993,1 or 2 Family Dwelling,8/11/2015,"$184,000.00 ",884,,2,R1-1,960,14,"(34.13214, -118.18449)"
13014-10000-02172,Commercial,7/11/2013,"$280,000.00 ",38,,0,M3-1,38,4,"(34.14246, -118.2705)"
13014-20000-02623,1 or 2 Family Dwelling,8/12/2013,"$78,000.00 ",3686,,2,RE11-1,1373,12,"(34.22182, -118.50963)"
13010-10000-03638,Commercial,3/12/2014,"$10,000.00 ",0,,1,OS-1XL,600,8,"(33.99829, -118.35789)"
14014-70000-04613,Commercial,9/1/2015,"$30,000.00 ",756,,1,C1-1,486,14,"(34.03159, -118.2091)"
15014-20000-03729,1 or 2 Family Dwelling,8/17/2015,"$13,270.00 ",575,0,0,RE11-1,575,12,"(34.19968, -118.63606)"
13014-20000-00611,1 or 2 Family Dwelling,1/28/2014,"$70,000.00 ",2036,,1,R1-1,867,11,"(33.99621, -118.4399)"
15014-20000-02738,1 or 2 Family Dwelling,6/22/2015,"$35,000.00 ",28,0,1,R1-1,28,11,"(34.04791, -118.52033)"
14014-20000-02648,1 or 2 Family Dwelling,6/27/2014,"$12,100.00 ",0,,1,RD2-1,220,14,"(34.11932, -118.17019)"
15010-10001-02635,Commercial,11/18/2015,"$523,275.00 ",6977,,1,[Q]C2-1,6977,9,
15010-30000-01069,1 or 2 Family Dwelling,8/26/2015,"$218,668.00 ",1474,1,3,R3-1,2044,13,
14014-20000-03860,1 or 2 Family Dwelling,9/4/2014,"$41,150.00 ",374,,1,R1-1,374,13,"(34.11117, -118.25808)"
15016-10000-06852,Commercial,3/1/2016,"$201,000.00 ",2891,,0,C5-4D,676,14,"(34.04657, -118.2507)"
14014-20000-05585,1 or 2 Family Dwelling,5/5/2015,"$58,000.00 ",723.9,,2,R1-1VL-RIO,723.9,13,"(34.09372, -118.23983)"
14014-10000-04620,1 or 2 Family Dwelling,10/30/2014,"$58,000.00 ",5004,0,1,RA-1-O-K,490,12,"(34.29541, -118.52668)"
15014-20000-00776,1 or 2 Family Dwelling,5/18/2015,"$24,000.00 ",0,0,2,R1-1-O,0,5,"(34.04037, -118.4037)"
14010-20000-03381,1 or 2 Family Dwelling,6/18/2015,"$375,000.00 ",2751,1,2,R1-1,3115,4,"(34.13258, -118.3458)"
13014-30000-00663,1 or 2 Family Dwelling,5/1/2013,"$15,000.00 ",147,,1,RS-1,147,7,"(34.27969, -118.37716)"
16014-10000-00453,1 or 2 Family Dwelling,3/3/2016,"$10,000.00 ",0,,0,R1-1,180,10,"(34.02804, -118.34405)"
15014-20000-00584,1 or 2 Family Dwelling,7/21/2015,"$65,000.00 ",402,0,1,RA-1,402,3,"(34.17768, -118.56756)"
15014-70000-03009,1 or 2 Family Dwelling,8/11/2015,"$4,500.00 ",84,,0,R2-1,84,9,"(33.96857, -118.25892)"
14010-20000-02434,1 or 2 Family Dwelling,11/30/2015,"$162,000.00 ",1420,1,2,(T)(Q)RD3-1,1788,2,"(34.20861, -118.39762)"
14014-10001-02651,1 or 2 Family Dwelling,2/10/2015,"$15,000.00 ",2384,0,2,R1-1,23,4,"(34.09703, -118.37657)"
13014-10000-02536,1 or 2 Family Dwelling,11/6/2013,"$110,000.00 ",451,,0,RE20-1-H,451,5,"(34.08299, -118.45929)"
14010-40000-01373,1 or 2 Family Dwelling,8/1/2014,"$22,000.00 ",0,,1,R1-1XL-O,361,15,"(33.78792, -118.26785)"
14014-70000-00977,1 or 2 Family Dwelling,4/10/2014,"$55,000.00 ",1401,,0,R1-1,465,8,"(33.97603, -118.32567)"
11014-10000-04533,1 or 2 Family Dwelling,1/4/2013,"$265,000.00 ",2399,,2,R1-1,2659,8,"(33.97351, -118.32904)"
15010-20000-00240,1 or 2 Family Dwelling,8/24/2015,"$667,000.00 ",3528,1,2,R1-1-RFA-RIO,3938,2,"(34.14567, -118.39994)"
11010-20000-00836,1 or 2 Family Dwelling,1/22/2013,"$651,709.00 ",5497.98,1,2,RE15-1,5497.98,11,"(34.03874, -118.52385)"
15014-10000-02820,1 or 2 Family Dwelling,9/23/2015,"$20,000.00 ",192,0,0,RD2-1,192,1,"(34.11736, -118.19187)"
14010-20000-00507,1 or 2 Family Dwelling,11/2/2015,"$35,000.00 ",0,,1,R1-1,495,11,"(34.04529, -118.54038)"
14014-20000-00543,1 or 2 Family Dwelling,8/13/2015,"$250,000.00 ",4495,,2,RA-1,2585,3,"(34.15653, -118.55789)"
15014-10000-00194,1 or 2 Family Dwelling,8/21/2015,"$260,000.00 ",3477.34,0,2,R1-1,3136.92,1,"(34.10932, -118.20826)"
13014-10000-02854,Commercial,9/10/2013,"$60,000.00 ",2015,,1,(Q)C2-1,0,11,"(34.04485, -118.55177)"
15014-10000-03620,1 or 2 Family Dwelling,12/28/2015,"$14,300.00 ",0,,1,RD2-1-HPOZ,259,14,"(34.109, -118.18715)"
14014-40000-01451,1 or 2 Family Dwelling,3/12/2015,"$100,000.00 ",327,0,2,R1-1XL,327,15,"(33.75298, -118.29651)"
16014-20000-01407,1 or 2 Family Dwelling,3/30/2016,"$33,000.00 ",180,,1,R1-1,180,2,"(34.18993, -118.40555)"
13014-40000-05503,1 or 2 Family Dwelling,6/10/2014,"$40,000.00 ",2844,-1,0,R2-1XL,209,15,"(33.72969, -118.31201)"
15010-10000-00983,1 or 2 Family Dwelling,5/11/2015,"$15,000.00 ",,,1,R1-1,342.25,4,"(34.10516, -118.37704)"
13014-30000-02823,1 or 2 Family Dwelling,7/16/2013,"$30,000.00 ",102,0,0,R1-1,115,11,"(34.01365, -118.44387)"
14010-20000-01043,1 or 2 Family Dwelling,5/1/2014,"$60,000.00 ",538,1,1,RA-1,835,12,"(34.22317, -118.56213)"
13014-20000-00464,Commercial,1/7/2014,"$150,000.00 ",780,,2,[Q]C2-1VL,780,7,"(34.27257, -118.44709)"
14010-10000-02933,1 or 2 Family Dwelling,8/31/2015,"$1,000,000.00 ",3990,1,3,R1-1,4450,11,"(33.97502, -118.45982)"
15014-20003-00897,1 or 2 Family Dwelling,4/12/2016,"$50,000.00 ",7062,,2,RE40-1-H,2458,5,"(34.09592, -118.44986)"
14016-20001-02983,1 or 2 Family Dwelling,12/4/2014,"$13,000.00 ",493,,1,RS-1,133,6,"(34.21459, -118.4256)"
15010-20000-03361,Commercial,10/14/2015,"$709,000.00 ",5543,,1,R1-1,5543,4,"(34.15777, -118.43065)"
12010-10000-00750,1 or 2 Family Dwelling,9/30/2013,"$400,000.00 ",2564,,2,RE40-1-H,2655,5,"(34.08291, -118.44997)"
13014-20000-00337,1 or 2 Family Dwelling,1/29/2013,"$70,000.00 ",430,0,1,R1-1,430,2,"(34.17276, -118.4021)"
12014-30000-04479,1 or 2 Family Dwelling,3/21/2013,"$80,000.00 ",2803,0,2,R1-1-HPOZ,101,10,"(34.04401, -118.33)"
16010-20000-01560,1 or 2 Family Dwelling,4/18/2016,"$8,000.00 ",402,,1,RA-1,402,5,"(34.15622, -118.51062)"
14010-30000-01129,1 or 2 Family Dwelling,4/16/2014,"$1,500.00 ",112.5,,1,R1-1,112.5,4,"(34.15096, -118.34882)"
15014-20000-04738,1 or 2 Family Dwelling,4/8/2016,"$70,000.00 ",611,0,2,R1-1,611,14,"(34.14315, -118.19595)"
14014-20000-04160,1 or 2 Family Dwelling,9/25/2015,"$490,000.00 ",4544,0,2,RE15-1-H,2236,11,"(34.07042, -118.49608)"
15014-10000-04842,1 or 2 Family Dwelling,11/6/2015,"$40,000.00 ",1410,0,1,R1-1-RIO,402,3,"(34.1975, -118.60989)"
15014-70000-02616,1 or 2 Family Dwelling,7/7/2015,"$22,300.00 ",223,,1,R1-1,223,10,"(34.02304, -118.35696)"
13010-20000-02414,1 or 2 Family Dwelling,2/19/2016,"$349,000.00 ",2754,1,2,(T)(Q)RS-1-RFA,3216,7,"(34.27168, -118.31525)"
15014-20000-02888,1 or 2 Family Dwelling,7/2/2015,"$25,000.00 ",551.8,0,1,RS-1,497.8,7,"(34.28143, -118.38638)"
15014-20000-04579,1 or 2 Family Dwelling,10/29/2015,"$4,000.00 ",0,0,2,RE15-1-H,23,4,"(34.11628, -118.36591)"
12014-30000-04550,1 or 2 Family Dwelling,1/3/2013,"$7,500.00 ",1502,,1,R1-1,43,11,"(33.96132, -118.40644)"
16014-20000-01622,1 or 2 Family Dwelling,4/13/2016,"$9,000.00 ",75,,0,R1-1,75,6,"(34.21915, -118.43422)"
14010-20000-02439,1 or 2 Family Dwelling,11/30/2015,"$184,000.00 ",1644,1,2,(T)(Q)RD3-1,2018,2,"(34.20861, -118.39762)"
12014-70000-04096,1 or 2 Family Dwelling,2/13/2013,"$25,373.00 ",497,,1,R1-1,73,10,"(34.02291, -118.34019)"
14014-40000-05560,1 or 2 Family Dwelling,7/24/2015,"$811,256.00 ",7973,0,2,RE20-1-H,1807,5,"(34.1003, -118.44961)"
16014-30000-00012,1 or 2 Family Dwelling,3/16/2016,"$320,000.00 ",2980,,2,R1-1,2162,11,"(34.00508, -118.44315)"
15014-10000-03182,1 or 2 Family Dwelling,2/16/2016,"$300,000.00 ",1256.95,,0,R1-1VL,1458.22,13,"(34.09227, -118.25159)"
14016-30000-22096,1 or 2 Family Dwelling,10/31/2014,"$30,000.00 ",3170,0,2,RW2-1,30,11,"(33.97782, -118.4625)"
15014-10000-01446,1 or 2 Family Dwelling,6/3/2015,"$200,000.00 ",637,0,0,RE11-1-HPOZ,637,4,"(34.06745, -118.32419)"
13014-70000-01327,1 or 2 Family Dwelling,4/25/2013,"$17,000.00 ",155,,1,R2-1,155,10,"(34.03034, -118.34899)"
14014-30000-03990,1 or 2 Family Dwelling,9/12/2014,"$28,000.00 ",129,0,2,RE15-1-H,457,5,"(34.07996, -118.46136)"
07010-10000-05432,Apartment,10/8/2014,"$6,600,000.00 ",50981,40,4,R3-1,77504,10,
15010-10000-00908,Commercial,9/2/2015,"$10,000.00 ",,,1,OS-1XL,225,2,"(34.16788, -118.37982)"
13014-10000-01361,1 or 2 Family Dwelling,9/20/2013,"$200,000.00 ",6786,0,2,RE15-1-H-RPD,693,5,"(34.11783, -118.44128)"
14010-20000-03707,1 or 2 Family Dwelling,4/8/2016,"$1,150,000.00 ",6049,1,2,RE11-1,6476,4,"(34.09635, -118.39499)"
13014-20000-04360,1 or 2 Family Dwelling,10/21/2013,"$2,600.00 ",158,,0,R1-1,158,4,"(34.16226, -118.45198)"
13014-20000-01338,1 or 2 Family Dwelling,4/16/2013,"$31,000.00 ",310,,1,R1-1,310,7,"(34.29727, -118.44896)"
14010-70000-02796,1 or 2 Family Dwelling,6/5/2015,"$218,900.00 ",1548,1,2,R1-1,1917,15,"(33.94621, -118.2482)"
12014-20000-04486,1 or 2 Family Dwelling,2/11/2013,"$60,000.00 ",499,0,0,R1-1-RFA,499,5,"(34.1473, -118.41609)"
14010-20000-00694,1 or 2 Family Dwelling,2/29/2016,"$177,363.00 ",1319,1,3,RD1.5-1,1651,2,
16014-20000-00599,1 or 2 Family Dwelling,2/11/2016,"$7,500.00 ",165,,0,R1-1-RIO,165,4,"(34.15108, -118.44092)"
12014-30000-04585,1 or 2 Family Dwelling,3/7/2013,"$160,000.00 ",4225,0,2,R1-1,1370,5,"(34.07537, -118.43696)"
14010-10000-02773,1 or 2 Family Dwelling,7/29/2015,"$132,209.00 ",1228,1,1,RD2-1-CDO,1306,13,"(34.11926, -118.24211)"
16014-30000-00087,1 or 2 Family Dwelling,1/11/2016,"$3,000.00 ",81,0,0,RA-1,81,12,"(34.28805, -118.49644)"
15014-20000-00712,1 or 2 Family Dwelling,2/20/2015,"$9,000.00 ",1915,0,1,R1-1-RIO,-5,3,"(34.18583, -118.55471)"
15014-30000-00245,1 or 2 Family Dwelling,7/23/2015,"$90,000.00 ",1726,0,2,R1-1VL,90,4,"(34.10149, -118.26728)"
13014-20000-03127,1 or 2 Family Dwelling,9/18/2013,"$294,000.00 ",2942,,1,R1-1,2164,2,"(34.1743, -118.39898)"
14010-20000-03445,1 or 2 Family Dwelling,1/5/2015,"$52,000.00 ",530,,1,R1-1-RIO,530,4,"(34.162, -118.45371)"
15014-40001-00297,1 or 2 Family Dwelling,8/28/2015,"$4,500.00 ",984,,1,R1-1,464,8,"(33.986, -118.30476)"
14014-20000-03496,1 or 2 Family Dwelling,8/11/2014,"$5,900.00 ",492,,1,(Q)RE11-1,492,12,"(34.26393, -118.60756)"
15010-10000-01137,1 or 2 Family Dwelling,7/8/2015,"$458,000.00 ",2601,1,2,R1-1,3597,4,
13014-20000-01690,1 or 2 Family Dwelling,5/6/2013,"$3,000.00 ",0,,1,R1-1-O,126,5,"(34.06991, -118.36987)"
14014-20001-00039,1 or 2 Family Dwelling,1/16/2014,$0.00 ,187,,0,R3-1VL,187,2,"(34.16759, -118.36846)"
16014-20000-00001,1 or 2 Family Dwelling,1/21/2016,"$10,000.00 ",3456.7,0,2,RE9-1-H,76.7,12,"(34.28661, -118.54839)"
13014-30000-02859,1 or 2 Family Dwelling,7/26/2013,"$30,000.00 ",2368,,0,R1-1,196,11,"(34.01656, -118.44231)"
13014-20000-04256,1 or 2 Family Dwelling,10/11/2013,"$28,000.00 ",1560,0,1,R1-1,885,7,"(34.28965, -118.41434)"
14014-70000-04994,1 or 2 Family Dwelling,5/27/2015,"$32,000.00 ",1313,0,1,R1-1XL-O,528,15,"(33.77404, -118.27227)"
14014-10000-01704,1 or 2 Family Dwelling,11/4/2014,"$150,000.00 ",2655,0,1,R1-1,93,8,"(34.00642, -118.34367)"
14014-30000-00398,1 or 2 Family Dwelling,3/21/2014,"$160,000.00 ",3724,,0,R1-1,661,11,"(34.04524, -118.48065)"
15010-10000-01283,1 or 2 Family Dwelling,2/3/2016,"$835,000.00 ",3514,1,2,RE15-1-H,6826.25,11,"(34.07056, -118.49035)"
15014-20000-01312,1 or 2 Family Dwelling,7/27/2015,"$250,000.00 ",3490,0,2,R1-1,1819,2,"(34.18135, -118.38236)"
15014-20000-05194,1 or 2 Family Dwelling,3/16/2016,"$28,000.00 ",424,0,2,RE11-1,483,12,"(34.27487, -118.53445)"
13014-20000-05427,1 or 2 Family Dwelling,6/19/2014,"$80,000.00 ",145,0,2,R2-1XL,145,5,"(34.08645, -118.36895)"
14014-30000-05418,1 or 2 Family Dwelling,6/4/2015,"$360,000.00 ",6852,0,2,RE11-1,1920,11,"(34.04165, -118.51154)"
16014-20000-00783,1 or 2 Family Dwelling,4/11/2016,"$78,000.00 ",760,,0,R1-1,760,12,"(34.21899, -118.51881)"
15010-10000-00686,1 or 2 Family Dwelling,12/7/2015,"$494,286.00 ",3333,1,3,C2(PV),4278,11,"(33.97699, -118.41338)"
13010-10000-04346,1 or 2 Family Dwelling,9/2/2014,"$1,600,000.00 ",11140,1,2,RE40-1-H,13766,5,"(34.08263, -118.44568)"
13014-20000-05365,1 or 2 Family Dwelling,2/13/2014,"$32,000.00 ",167,0,2,R1-1,167,5,"(34.06839, -118.45789)"
14010-20000-03380,1 or 2 Family Dwelling,6/18/2015,"$300,840.00 ",1637,1,2,R1-1,1947,4,"(34.13281, -118.3457)"
14010-70000-02575,1 or 2 Family Dwelling,10/28/2014,"$24,000.00 ",,,1,R2-1,361,8,"(33.94112, -118.27684)"
15010-10000-01631,1 or 2 Family Dwelling,11/12/2015,"$205,961.00 ",1646,1,3,CR(PKM)-1,2288,4,
15014-10000-01096,1 or 2 Family Dwelling,3/17/2015,"$5,000.00 ",286,0,1,R1-1-O,286,5,"(34.05083, -118.3996)"
13014-20000-01371,1 or 2 Family Dwelling,4/15/2013,"$40,000.00 ",373,0,1,R1-1,373,6,"(34.20916, -118.39093)"
15010-20000-04176,1 or 2 Family Dwelling,12/28/2015,"$115,000.00 ",384,,2,R1-2,1320,12,"(34.25877, -118.60188)"
15014-10000-00635,1 or 2 Family Dwelling,5/19/2015,"$100,000.00 ",0,,0,R1-1-HPOZ,146,5,"(34.07559, -118.35235)"
13014-10000-05153,1 or 2 Family Dwelling,8/15/2014,"$630,000.00 ",5792,,2,RA-1,6390,11,"(34.07167, -118.48198)"
14014-20000-01785,1 or 2 Family Dwelling,8/19/2014,"$8,000.00 ",222,,2,R1-1,222,7,"(34.26843, -118.31975)"
16010-20000-00177,1 or 2 Family Dwelling,2/24/2016,"$126,000.00 ",983,0,2,RE15-1-H,983,5,"(34.14776, -118.48294)"
15010-30000-02011,1 or 2 Family Dwelling,4/14/2016,"$209,000.00 ",2156,1,3,RD2-1-RIO,2459,13,"(34.11071, -118.25246)"
14014-20000-04554,1 or 2 Family Dwelling,10/21/2014,"$15,000.00 ",275.1,,1,R1-1,900.6,7,"(34.32092, -118.45458)"
13010-10000-04376,1 or 2 Family Dwelling,2/9/2016,"$166,500.00 ",399,,1,RE20-1,173,5,"(34.08138, -118.43908)"
15010-20000-01545,1 or 2 Family Dwelling,6/2/2015,"$5,184.00 ",0,,1,R1-1,324,6,"(34.22485, -118.42923)"
15014-10000-03655,1 or 2 Family Dwelling,9/10/2015,"$45,000.00 ",1466,0,1,R2-1,451,9,"(33.97369, -118.26709)"
15014-20000-01737,1 or 2 Family Dwelling,4/29/2015,"$35,000.00 ",248,0,0,R1-1,248,8,"(33.9674, -118.3107)"
12014-20001-04080,1 or 2 Family Dwelling,1/15/2013,$501.00 ,276,,0,R1-1,276,8,"(33.99052, -118.32835)"
11014-20003-01353,1 or 2 Family Dwelling,11/5/2014,"$5,000.00 ",0,0,0,RE15-1-H,0,5,"(34.1003, -118.46209)"
14014-20000-01105,1 or 2 Family Dwelling,6/4/2014,"$111,000.00 ",2882,,2,R1-1,1203,2,"(34.20265, -118.43909)"
15014-20000-02590,1 or 2 Family Dwelling,7/9/2015,"$100,000.00 ",372.25,,2,RE15-1-H,372.25,5,"(34.14112, -118.49533)"
13014-20001-03331,1 or 2 Family Dwelling,9/11/2014,"$25,000.00 ",145,,1,R1-1,475,2,
15014-10000-01226,1 or 2 Family Dwelling,11/25/2015,"$100,000.00 ",208,0,0,C2-1VL-RIO,208,2,"(34.13998, -118.38506)"
16014-70000-01211,1 or 2 Family Dwelling,4/20/2016,"$30,704.00 ",309,,0,R2-1,309,9,"(33.99418, -118.25929)"
14010-30000-02808,1 or 2 Family Dwelling,5/18/2015,"$600,000.00 ",3907,1,2,R1-1,3907,11,"(34.00816, -118.44737)"
14010-20000-00903,Commercial,6/18/2014,"$20,000.00 ",80,,1,MR2-1,80,12,"(34.23201, -118.56708)"
14014-10000-01171,1 or 2 Family Dwelling,6/2/2014,"$300,000.00 ",3941,,2,RE15-1-H,1163,4,"(34.12992, -118.3284)"
14014-30000-04536,1 or 2 Family Dwelling,4/9/2015,"$250,000.00 ",3388,0,1,R1-1-RIO,1907,5,"(34.18378, -118.5219)"
14010-70000-03633,1 or 2 Family Dwelling,8/27/2015,"$575,352.00 ",3535.96,1,3,[Q]R1-1D,4466,14,"(34.09449, -118.16457)"
14014-30000-04891,1 or 2 Family Dwelling,1/28/2015,"$6,500.00 ",2988,0,2,R3-1,136,13,"(34.09289, -118.31033)"
14010-20000-02444,1 or 2 Family Dwelling,11/30/2015,"$184,000.00 ",1901,1,2,(T)(Q)RD3-1,2287,2,"(34.20861, -118.39762)"
15010-20000-03871,1 or 2 Family Dwelling,1/29/2016,"$412,000.00 ",3101,1,2,[T]RE-1,3536,12,"(34.29278, -118.57897)"
13010-20000-03777,1 or 2 Family Dwelling,3/18/2016,"$185,000.00 ",1489,1,2,(Q)RD3-1,1911,7,
14014-30000-03446,1 or 2 Family Dwelling,11/25/2014,"$250,000.00 ",2436,0,2,RE15-1-H,180,4,"(34.10479, -118.38145)"
15014-20000-02517,1 or 2 Family Dwelling,6/22/2015,"$38,000.00 ",312,,1,R1-1,312,3,"(34.16892, -118.6248)"
14010-20000-02624,1 or 2 Family Dwelling,4/4/2016,"$251,000.00 ",1994,1,3,R1-1,2420,6,
14016-30001-15702,1 or 2 Family Dwelling,10/2/2014,$501.00 ,0,,1,R1-1,212,11,"(34.04327, -118.53357)"
14014-10000-03566,1 or 2 Family Dwelling,4/15/2015,"$201,801.00 ",1383,0,2,RE20-1,1473,11,"(34.03548, -118.51785)"
14010-70000-01463,1 or 2 Family Dwelling,4/22/2015,"$300,000.00 ",2961,2,2,R2-1,3446,9,"(33.95727, -118.25779)"
11014-10000-01616,1 or 2 Family Dwelling,5/9/2014,"$125,000.00 ",599,0,2,R1-1VL,599,13,"(34.08891, -118.27142)"
14010-20000-02028,1 or 2 Family Dwelling,7/18/2014,"$11,000.00 ",180.6,,1,RA-1,180.6,12,"(34.22819, -118.50683)"
15014-20000-03096,1 or 2 Family Dwelling,4/19/2016,"$300,000.00 ",1715,,2,R1-1,1715,11,"(33.96209, -118.42021)"
13014-20000-03464,1 or 2 Family Dwelling,8/23/2013,"$15,000.00 ",137.5,,1,RS-1,180.5,2,"(34.21389, -118.40319)"
15014-10000-01639,1 or 2 Family Dwelling,6/18/2015,"$70,000.00 ",1945,0,2,R1-1,664.37,8,"(33.97924, -118.30101)"
13014-10000-03922,1 or 2 Family Dwelling,12/2/2013,"$45,000.00 ",1739,0,1,R1-1,450,10,"(34.01917, -118.3421)"
15014-20000-01779,1 or 2 Family Dwelling,5/11/2015,"$8,500.00 ",1352,,0,R1-1,84.5,2,"(34.19201, -118.3895)"
15014-20000-05007,1 or 2 Family Dwelling,1/8/2016,"$150,000.00 ",2632,0,0,RA-1,1012,7,"(34.31421, -118.4273)"
15014-10000-00401,1 or 2 Family Dwelling,2/27/2015,"$13,700.00 ",0,0,1,R2-1,100,9,"(33.99584, -118.24407)"
14014-10000-03029,1 or 2 Family Dwelling,8/28/2014,"$70,000.00 ",1645,0,2,R1-1,589,14,"(34.14041, -118.19086)"
12014-20001-00330,1 or 2 Family Dwelling,6/27/2014,"$5,000.00 ",268,,0,RE15-1-H,268,5,"(34.1354, -118.50215)"
15010-20000-00750,1 or 2 Family Dwelling,9/21/2015,"$150,000.00 ",1198,1,1,RA-1-RIO,1411,6,"(34.19016, -118.51409)"
12014-10000-04192,Commercial,1/13/2016,"$100,000.00 ",484,,1,M1-1,484,7,"(34.25066, -118.28973)"
15014-30000-01291,1 or 2 Family Dwelling,7/15/2015,"$250,000.00 ",4476,0,1,RE11-1,677,11,"(34.0315, -118.5223)"
13010-20000-02832,1 or 2 Family Dwelling,8/27/2014,"$25,000.00 ",0,,1,RA-1,627,12,"(34.26582, -118.57755)"
13014-70000-00104,1 or 2 Family Dwelling,1/24/2013,"$48,000.00 ",483,,1,R1-1,483,15,"(33.92657, -118.27514)"
15014-10000-02144,1 or 2 Family Dwelling,4/11/2016,"$21,121.00 ",1523,0,0,R2-1,285,9,"(34.01181, -118.24462)"
13014-10000-01865,1 or 2 Family Dwelling,5/23/2013,"$98,000.00 ",2504,,1,R1-1-RFA,625,2,"(34.14836, -118.40608)"
14014-20000-00284,1 or 2 Family Dwelling,2/12/2014,"$30,000.00 ",255,,1,RD2-1,246,5,"(34.01647, -118.4152)"
16014-20000-01636,1 or 2 Family Dwelling,4/14/2016,"$26,200.00 ",245,,1,R3-1,245,4,"(34.08295, -118.31032)"
15014-20000-04605,1 or 2 Family Dwelling,10/27/2015,"$50,000.00 ",457,,1,R1-1,457,3,"(34.20219, -118.56389)"
13014-20000-04697,1 or 2 Family Dwelling,11/14/2013,"$7,500.00 ",0,,0,R1-1,468,2,"(34.15873, -118.38647)"
14014-20000-01670,1 or 2 Family Dwelling,1/15/2015,"$75,000.00 ",481,,0,R1-1,481,2,"(34.13974, -118.38757)"
14010-20000-01774,1 or 2 Family Dwelling,3/26/2015,"$1,500,000.00 ",9028,1,1,RE15-1-H,9803,4,"(34.10506, -118.38903)"
12010-10000-00378,1 or 2 Family Dwelling,8/6/2013,"$255,375.00 ",1874,1,3,[Q]RD2-1VL,2206,13,
14014-10000-05363,1 or 2 Family Dwelling,12/19/2014,"$31,000.00 ",1198,0,1,R2-1,0,8,"(33.98117, -118.28364)"
13010-20000-02485,1 or 2 Family Dwelling,8/19/2013,"$8,000.00 ",0,,1,(T)RS-1,324,2,"(34.21371, -118.4167)"
13010-20000-03982,1 or 2 Family Dwelling,6/11/2015,"$181,600.00 ",1489,1,2,(T)(Q)RD2-1,1911,6,"(34.20894, -118.46341)"
15014-20000-04065,1 or 2 Family Dwelling,10/28/2015,"$18,000.00 ",162,,0,RS-1,162,7,"(34.26866, -118.40225)"
13014-30000-05359,1 or 2 Family Dwelling,4/30/2014,"$85,000.00 ",1900,,1,R1-1,877,11,"(34.02989, -118.45205)"
15014-20000-01156,1 or 2 Family Dwelling,3/27/2015,"$73,000.00 ",720,0,0,R1-1,720,7,"(34.24795, -118.42376)"
15014-30000-02935,1 or 2 Family Dwelling,10/13/2015,"$30,000.00 ",212,0,2,R1-1VLD,121,11,"(34.00238, -118.45341)"
15014-20000-03427,1 or 2 Family Dwelling,12/21/2015,"$45,000.00 ",453,0,2,R1-1,453,4,"(34.10942, -118.38747)"
15016-20002-06062,1 or 2 Family Dwelling,1/6/2016,"$87,000.00 ",860,,0,RE15-1-H,860,5,"(34.10756, -118.43621)"
14014-10000-02415,1 or 2 Family Dwelling,2/3/2015,"$85,244.00 ",1756,,2,R1-1,844,13,"(34.12671, -118.26909)"
15010-10000-01765,1 or 2 Family Dwelling,1/15/2016,"$300,000.00 ",2112,1,3,R3-1,2651,4,"(34.09556, -118.34968)"
13014-20000-00119,1 or 2 Family Dwelling,2/14/2013,"$30,000.00 ",216,0,1,RE15-1-H,216,4,"(34.12427, -118.35748)"
11014-10001-03144,1 or 2 Family Dwelling,8/9/2013,"$30,000.00 ",3976,,1,RE11-1,141,4,"(34.1457, -118.44128)"
15010-20000-02238,Commercial,9/2/2015,"$72,000.00 ",1440,,1,(T)(Q)RA-1-H,1440,12,
15014-20000-04561,1 or 2 Family Dwelling,10/30/2015,"$38,000.00 ",375,,1,R1-1,375,6,"(34.2105, -118.37347)"
15010-10000-01733,Apartment,12/9/2015,"$1,273,300.00 ",8479,3,4,C2(PV),9805,11,"(33.97502, -118.41578)"
13014-10000-04407,1 or 2 Family Dwelling,5/12/2014,"$30,000.00 ",1176.5,0,2,RD2-1-HPOZ,691,14,"(34.11221, -118.18043)"
14010-30000-03860,1 or 2 Family Dwelling,2/24/2016,"$51,000.00 ",602,,2,R1-1,602,11,"(34.00956, -118.43922)"
15014-30000-01601,1 or 2 Family Dwelling,4/16/2015,"$47,000.00 ",275,0,1,R1-1,275,11,"(33.96304, -118.39488)"
